transcript_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
ENST00000456328.2,0,1,3,0,0,4
ENST00000450305.2,0,0,0,0,0,0
ENST00000488147.1,0,0,4,1,0,0
ENST00000461467.1,0,0,0,0,0,0
ENST00000606857.1,0,0,0,0,0,0
ENST00000642116.1,0,0,0,0,0,0
ENST00000492842.2,0,0,0,0,0,0
ENST00000641515.2,0,0,0,0,0,0
ENST00000495576.1,0,0,0,0,0,0
ENST00000477740.5,0,0,0,0,0,0
ENST00000471248.1,0,0,0,0,0,0
ENST00000610542.1,0,0,2,1,1,3
ENST00000453576.2,0,0,0,1,1,1
MSTRG.4.3,0,0,3,0,1,5
MSTRG.4.8,0,0,0,63,0,0
MSTRG.4.11,0,535,2,3,0,442
MSTRG.4.10,0,0,0,0,0,685
ENST00000484859.1,0,0,28,0,44,43
ENST00000490997.5,0,7,0,0,0,1
ENST00000466557.6,0,0,0,0,0,0
MSTRG.6.1,0,0,103,0,0,0
ENST00000624431.2,0,2,6,0,3,2
ENST00000623083.4,0,0,0,0,0,17
MSTRG.6.4,0,4,1,1,45,45
MSTRG.2.1,55,262,70,476,34,532
MSTRG.2.3,104,59,193,141,140,191
MSTRG.2.2,58,36,32,18,121,0
MSTRG.2.4,744,663,1542,496,851,1101
ENST00000619216.1,1,1,1,1,1,1
ENST00000473358.1,4,8,15,10,3,11
ENST00000469289.1,1,2,1,5,2,7
ENST00000607096.1,1,1,1,1,1,1
ENST00000417324.1,2,9,0,0,0,0
ENST00000466430.5,8,21,21,12,12,22
ENST00000442987.3,51,36,62,34,61,107
ENST00000494149.2,94,55,109,161,223,95
MSTRG.4.1,76,558,43,169,273,1735
MSTRG.4.4,3,0,189,0,0,3
ENST00000595919.1,72,93,33,68,330,471
MSTRG.4.6,264,271,34,0,0,93
MSTRG.4.5,244,97,232,166,164,170
ENST00000493797.1,16,2,0,0,7,3
MSTRG.4.9,152,155,431,221,815,783
ENST00000410691.1,1,1,1,2,5,1
ENST00000496488.1,5,12,4,5,17,24
ENST00000662089.1,1,2,5,1,0,7
ENST00000491962.1,2,1,2,0,0,1
