transcript_id,CM_D18_R2,CM_D3_R2,CM_D0_R2,CM_D18_R1,CM_D3_R1,CM_D0_R1
ENST00000834250,0,0,2,0,0,0
ENST00000834253,0,0,0,0,0,0
ENST00000834254,0,0,0,0,0,0
ENST00000834251,0,0,0,0,0,4
ENST00000834252,0,0,0,0,0,0
ENST00000461467,0,0,0,0,0,0
ENST00000833573,0,0,4,0,0,0
ENST00000417324,1,0,1,0,0,2
ENST00000832824,0,0,0,0,0,0
ENST00000832825,0,0,0,0,0,0
ENST00000832826,0,0,0,0,0,0
ENST00000832827,0,0,0,0,0,0
ENST00000832828,0,0,1,4,4,0
ENST00000832829,0,0,0,0,0,2
ENST00000832830,0,0,0,0,0,0
ENST00000832837,0,0,0,0,0,0
ENST00000832831,0,0,0,0,0,0
ENST00000832832,0,0,0,0,0,0
ENST00000832833,0,0,0,0,0,0
ENST00000832834,0,0,0,0,0,0
ENST00000832835,0,0,0,0,0,0
ENST00000832839,0,0,0,0,0,0
ENST00000832838,0,0,0,0,0,0
ENST00000832840,0,0,0,0,0,0
ENST00000832841,0,0,0,0,0,0
ENST00000456328,0,2,0,0,0,0
ENST00000832842,0,0,0,0,0,0
ENST00000832843,0,0,0,0,0,0
ENST00000832844,0,0,0,0,0,0
ENST00000832845,0,0,0,0,0,0
ENST00000832846,0,0,0,0,0,0
ENST00000450305,0,0,0,0,0,0
ENST00000832848,0,0,0,0,0,0
ENST00000832849,0,0,0,0,0,0
ENST00000831746,0,1,11,1,44,12
ENST00000831145,0,0,0,0,0,0
ENST00000831146,0,0,1,0,0,0
ENST00000831154,0,0,0,0,0,0
ENST00000831157,0,0,0,0,0,0
ENST00000831165,0,0,0,57,0,0
ENST00000831201,0,0,110,0,0,0
ENST00000831172,0,34,0,115,0,0
ENST00000831177,0,0,0,0,0,0
ENST00000831158,0,0,0,0,0,0
ENST00000831161,0,0,0,0,0,0
ENST00000831170,0,0,0,0,0,0
ENST00000831173,0,0,0,0,0,0
ENST00000831189,0,0,0,0,0,0
ENST00000831204,0,0,0,0,0,0
ENST00000831205,0,36,0,1,1,0
ENST00000831206,0,0,0,0,0,0
ENST00000831747,0,0,0,0,0,0
ENST00000831210,0,0,0,0,1,0
ENST00000831215,0,0,0,0,0,0
ENST00000831387,0,0,0,0,0,0
ENST00000831698,0,0,0,0,1,0
ENST00000831218,0,0,0,0,0,0
ENST00000831219,0,0,0,0,0,0
ENST00000831222,0,0,0,0,0,0
ENST00000831225,0,0,0,0,0,0
ENST00000831228,0,0,0,0,0,0
ENST00000831229,0,0,0,0,0,0
ENST00000831230,0,0,0,0,0,0
ENST00000831231,0,0,0,0,0,0
ENST00000831232,0,0,6,0,0,0
ENST00000831248,0,25,0,0,0,0
ENST00000831253,0,0,0,0,0,0
ENST00000831261,0,0,0,0,1,0
ENST00000831272,0,0,0,0,0,0
ENST00000831275,0,0,0,0,0,0
ENST00000831289,0,0,0,0,0,0
ENST00000831333,0,0,0,0,25,26
ENST00000831337,0,2,0,0,0,0
ENST00000831361,0,0,0,0,1,0
ENST00000831363,0,0,0,0,0,0
ENST00000831369,0,0,0,0,0,0
ENST00000831371,0,0,0,0,0,0
ENST00000831405,0,0,0,0,0,0
ENST00000831417,0,0,0,0,0,0
ENST00000831279,0,0,0,0,0,0
ENST00000831359,0,0,0,0,0,0
ENST00000831738,0,0,0,0,0,0
ENST00000831707,0,0,0,0,0,0
ENST00000831699,0,0,0,0,0,0
