"NAME","cluster"
"ENST00000304952",1
"ENST00000374630",1
"ENST00000342280",1
"ENST00000928355",1
"ENST00000907006",1
"ENST00000635253",1
"ENST00000370976",1
"ENST00000885094",1
"ENST00000370742",1
"ENST00000674208",1
"ENST00000370225",1
"ENST00000370185",1
"ENST00000864986",1
"ENST00000368378",1
"ENST00000368195",1
"ENST00000333360",1
"ENST00000713653",1
"ENST00000310833",1
"ENST00000356522",1
"ENST00000366930",1
"ENST00000366684",1
"ENST00000930083",1
"ENST00000407071",1
"ENST00000397962",1
"ENST00000304267",1
"ENST00000881961",1
"ENST00000863063",1
"ENST00000458595",1
"ENST00000881135",1
"ENST00000320985",1
"ENST00000424869",1
"ENST00000374867",1
"ENST00000862410",1
"ENST00000874400",1
"ENST00000224784",1
"ENST00000624358",1
"ENST00000344586",1
"ENST00000452494",1
"ENST00000358187",1
"ENST00000369519",1
"ENST00000623953",1
"ENST00000388920",1
"ENST00000416167",1
"ENST00000227155",1
"ENST00000395629",1
"ENST00000532932",1
"ENST00000698129",1
"ENST00000710864",1
"ENST00000263674",1
"ENST00000336898",1
"ENST00000884906",1
"ENST00000532572",1
"ENST00000335953",1
"ENST00000683554",1
"ENST00000278927",1
"ENST00000527786",1
"ENST00000318602",1
"ENST00000266397",1
"ENST00000240662",1
"ENST00000948240",1
"ENST00000920053",1
"ENST00000337299",1
"ENST00000380518",1
"ENST00000928357",1
"ENST00000493991",1
"ENST00000466884",1
"ENST00000490609",1
"ENST00000551103",1
"ENST00000547103",1
"ENST00000308664",1
"ENST00000382263",1
"ENST00000876241",1
"ENST00000376747",1
"ENST00000682017",1
"ENST00000968290",1
"ENST00000729137",1
"ENST00000645694",1
"ENST00000853904",1
"ENST00000853903",1
"ENST00000361956",1
"ENST00000381280",1
"ENST00000553716",1
"ENST00000880024",1
"ENST00000330753",1
"ENST00000331224",1
"ENST00000341267",1
"ENST00000541819",1
"ENST00000951937",1
"ENST00000771076",1
"ENST00000771073",1
"ENST00000249749",1
"ENST00000505373",1
"ENST00000268164",1
"ENST00000907334",1
"ENST00000647876",1
"ENST00000564731",1
"ENST00000254235",1
"ENST00000268603",1
"ENST00000341529",1
"ENST00000649859",1
"ENST00000618002",1
"ENST00000443061",1
"ENST00000674673",1
"ENST00000393450",1
"ENST00000892665",1
"ENST00000451037",1
"ENST00000424486",1
"ENST00000893798",1
"ENST00000563924",1
"ENST00000541152",1
"ENST00000579760",1
"ENST00000675386",1
"ENST00000905718",1
"ENST00000579454",1
"ENST00000424526",1
"ENST00000642541",1
"ENST00000593195",1
"ENST00000361673",1
"ENST00000679828",1
"ENST00000860153",1
"ENST00000924726",1
"ENST00000643092",1
"ENST00000252590",1
"ENST00000359274",1
"ENST00000221452",1
"ENST00000884675",1
"ENST00000541738",1
"ENST00000898762",1
"ENST00000660923",1
"ENST00000766977",1
"ENST00000366671",1
"ENST00000282549",1
"ENST00000560281",1
"ENST00000491706",1
"ENST00000439433",1
"ENST00000409517",1
"ENST00000295379",1
"ENST00000295057",1
"ENST00000331203",1
"ENST00000259216",1
"ENST00000272797",1
"ENST00000715174",1
"ENST00000342992",1
"ENST00000233156",1
"ENST00000261024",1
"ENST00000852785",1
"ENST00000446046",1
"ENST00000865089",1
"ENST00000852416",1
"ENST00000380648",1
"ENST00000477287",1
"ENST00000698795",1
"ENST00000378858",1
"ENST00000923518",1
"ENST00000613128",1
"ENST00000444366",1
"ENST00000246006",1
"ENST00000674240",1
"ENST00000621426",1
"ENST00000448944",1
"ENST00000316673",1
"ENST00000252997",1
"ENST00000787726",1
"ENST00000649276",1
"ENST00000486651",1
"ENST00000394449",1
"ENST00000890232",1
"ENST00000330688",1
"ENST00000884814",1
"ENST00000676712",1
"ENST00000614032",1
"ENST00000487097",1
"ENST00000295903",1
"ENST00000475557",1
"ENST00000878043",1
"ENST00000393923",1
"ENST00000909638",1
"ENST00000928196",1
"ENST00000909647",1
"ENST00000393775",1
"ENST00000480704",1
"ENST00000703519",1
"ENST00000330394",1
"ENST00000672887",1
"ENST00000683351",1
"ENST00000695919",1
"ENST00000511884",1
"ENST00000380837",1
"ENST00000312465",1
"ENST00000502971",1
"ENST00000950982",1
"ENST00000394980",1
"ENST00000394931",1
"ENST00000273990",1
"ENST00000296420",1
"ENST00000394767",1
"ENST00000959844",1
"ENST00000296530",1
"ENST00000511269",1
"ENST00000359562",1
"ENST00000649739",1
"ENST00000504830",1
"ENST00000230882",1
"ENST00000264664",1
"ENST00000601500",1
"ENST00000230658",1
"ENST00000274289",1
"ENST00000274341",1
"ENST00000860111",1
"ENST00000860110",1
"ENST00000510942",1
"ENST00000274382",1
"ENST00000890088",1
"ENST00000231368",1
"ENST00000618155",1
"ENST00000511217",1
"ENST00000297130",1
"ENST00000424406",1
"ENST00000645831",1
"ENST00000379597",1
"ENST00000379375",1
"ENST00000378990",1
"ENST00000378814",1
"ENST00000252050",1
"ENST00000888945",1
"ENST00000493422",1
"ENST00000873262",1
"ENST00000370830",1
"ENST00000237172",1
"ENST00000370020",1
"ENST00000911405",1
"ENST00000326274",1
"ENST00000368452",1
"ENST00000337057",1
"ENST00000530481",1
"ENST00000904971",1
"ENST00000904981",1
"ENST00000904987",1
"ENST00000612899",1
"ENST00000237289",1
"ENST00000906241",1
"ENST00000472054",1
"ENST00000623361",1
"ENST00000406453",1
"ENST00000242261",1
"ENST00000242152",1
"ENST00000649409",1
"ENST00000648848",1
"ENST00000650533",1
"ENST00000430838",1
"ENST00000435749",1
"ENST00000406263",1
"ENST00000927528",1
"ENST00000346177",1
"ENST00000307271",1
"ENST00000476324",1
"ENST00000530337",1
"ENST00000678242",1
"ENST00000524500",1
"ENST00000520982",1
"ENST00000904759",1
"ENST00000950408",1
"ENST00000380871",1
"ENST00000325017",1
"ENST00000836831",1
"ENST00000662066",1
"ENST00000265769",1
"ENST00000520448",1
"ENST00000650919",1
"ENST00000287842",1
"ENST00000853781",1
"ENST00000276573",1
"ENST00000674439",1
"ENST00000519075",1
"ENST00000884875",1
"ENST00000517566",1
"ENST00000522445",1
"ENST00000395571",1
"ENST00000853985",1
"ENST00000396396",1
"ENST00000951904",1
"ENST00000705190",1
"ENST00000537320",1
"ENST00000350763",1
"ENST00000373631",1
"ENST00000896215",1
"ENST00000406555",1
"ENST00000893649",1
"ENST00000398000",1
"ENST00000887544",1
"ENST00000931794",1
"ENST00000538570",1
"ENST00000913236",1
