"NAME","cluster"
"ENST00000378453",1
"ENST00000377893",1
"ENST00000377845",1
"ENST00000377507",1
"ENST00000374392",1
"ENST00000361157",1
"ENST00000271064",1
"ENST00000373422",1
"ENST00000372573",1
"ENST00000271139",1
"ENST00000354567",1
"ENST00000330010",1
"ENST00000855565",1
"ENST00000260505",1
"ENST00000370589",1
"ENST00000935051",1
"ENST00000467909",1
"ENST00000305352",1
"ENST00000481871",1
"ENST00000369965",1
"ENST00000369962",1
"ENST00000879565",1
"ENST00000324048",1
"ENST00000368873",1
"ENST00000368875",1
"ENST00000852748",1
"ENST00000368124",1
"ENST00000367909",1
"ENST00000360851",1
"ENST00000367521",1
"ENST00000367520",1
"ENST00000367433",1
"ENST00000367283",1
"ENST00000471105",1
"ENST00000491336",1
"ENST00000341360",1
"ENST00000861178",1
"ENST00000906547",1
"ENST00000881026",1
"ENST00000881022",1
"ENST00000366929",1
"ENST00000863548",1
"ENST00000366838",1
"ENST00000366837",1
"ENST00000889955",1
"ENST00000867538",1
"ENST00000376624",1
"ENST00000313311",1
"ENST00000946671",1
"ENST00000424869",1
"ENST00000374867",1
"ENST00000891516",1
"ENST00000929784",1
"ENST00000242462",1
"ENST00000394957",1
"ENST00000894723",1
"ENST00000639913",1
"ENST00000888208",1
"ENST00000614189",1
"ENST00000941956",1
"ENST00000901926",1
"ENST00000266058",1
"ENST00000901356",1
"ENST00000277900",1
"ENST00000393104",1
"ENST00000392982",1
"ENST00000369236",1
"ENST00000439649",1
"ENST00000684105",1
"ENST00000368592",1
"ENST00000524947",1
"ENST00000381395",1
"ENST00000416167",1
"ENST00000434045",1
"ENST00000445504",1
"ENST00000381361",1
"ENST00000381363",1
"ENST00000381330",1
"ENST00000534491",1
"ENST00000857954",1
"ENST00000857951",1
"ENST00000857977",1
"ENST00000856816",1
"ENST00000856820",1
"ENST00000947338",1
"ENST00000530691",1
"ENST00000864318",1
"ENST00000655819",1
"ENST00000531066",1
"ENST00000909724",1
"ENST00000343674",1
"ENST00000682741",1
"ENST00000921788",1
"ENST00000918477",1
"ENST00000911905",1
"ENST00000322147",1
"ENST00000304771",1
"ENST00000529308",1
"ENST00000534061",1
"ENST00000409404",1
"ENST00000263468",1
"ENST00000528673",1
"ENST00000528158",1
"ENST00000714378",1
"ENST00000647956",1
"ENST00000713574",1
"ENST00000537304",1
"ENST00000261169",1
"ENST00000396205",1
"ENST00000954702",1
"ENST00000359062",1
"ENST00000451604",1
"ENST00000919055",1
"ENST00000919056",1
"ENST00000341809",1
"ENST00000551956",1
"ENST00000430889",1
"ENST00000515617",1
"ENST00000833803",1
"ENST00000660808",1
"ENST00000508564",1
"ENST00000352268",1
"ENST00000926495",1
"ENST00000881995",1
"ENST00000885361",1
"ENST00000547379",1
"ENST00000551568",1
"ENST00000261205",1
"ENST00000337514",1
"ENST00000959768",1
"ENST00000392842",1
"ENST00000959769",1
"ENST00000910054",1
"ENST00000403593",1
"ENST00000358808",1
"ENST00000620786",1
"ENST00000546355",1
"ENST00000298248",1
"ENST00000862813",1
"ENST00000361042",1
"ENST00000381033",1
"ENST00000948542",1
"ENST00000613252",1
"ENST00000526202",1
"ENST00000465261",1
"ENST00000438290",1
"ENST00000947242",1
"ENST00000330949",1
"ENST00000267396",1
"ENST00000667602",1
"ENST00000868186",1
"ENST00000251091",1
"ENST00000853581",1
"ENST00000361956",1
"ENST00000238682",1
"ENST00000216487",1
"ENST00000393087",1
"ENST00000554866",1
"ENST00000329597",1
"ENST00000335290",1
"ENST00000392634",1
"ENST00000563044",1
"ENST00000560702",1
"ENST00000933333",1
"ENST00000908747",1
"ENST00000854653",1
"ENST00000260324",1
"ENST00000559418",1
"ENST00000696102",1
"ENST00000645819",1
"ENST00000862331",1
"ENST00000920201",1
"ENST00000287196",1
"ENST00000303329",1
"ENST00000345382",1
"ENST00000394553",1
"ENST00000654017",1
"ENST00000914333",1
"ENST00000301732",1
"ENST00000161006",1
"ENST00000325568",1
"ENST00000534507",1
"ENST00000526464",1
"ENST00000548807",1
"ENST00000425191",1
"ENST00000614721",1
"ENST00000297679",1
"ENST00000563544",1
"ENST00000564907",1
"ENST00000860561",1
"ENST00000393957",1
"ENST00000302628",1
"ENST00000397992",1
"ENST00000268489",1
"ENST00000262429",1
"ENST00000876493",1
"ENST00000324015",1
"ENST00000453066",1
"ENST00000573770",1
"ENST00000576406",1
"ENST00000389313",1
"ENST00000306071",1
"ENST00000967557",1
"ENST00000585453",1
"ENST00000928838",1
"ENST00000318579",1
"ENST00000330070",1
"ENST00000470495",1
"ENST00000332503",1
"ENST00000172229",1
"ENST00000583356",1
"ENST00000886834",1
"ENST00000861530",1
"ENST00000864030",1
"ENST00000156626",1
"ENST00000540918",1
"ENST00000237014",1
"ENST00000854481",1
"ENST00000854476",1
"ENST00000597599",1
"ENST00000436190",1
"ENST00000262094",1
"ENST00000431212",1
"ENST00000536984",1
"ENST00000397968",1
"ENST00000322038",1
"ENST00000580243",1
"ENST00000578092",1
"ENST00000251289",1
"ENST00000577920",1
"ENST00000538904",1
"ENST00000928454",1
"ENST00000874164",1
"ENST00000301194",1
"ENST00000893954",1
"ENST00000376530",1
"ENST00000376531",1
"ENST00000890315",1
"ENST00000541801",1
"ENST00000933729",1
"ENST00000699836",1
"ENST00000851924",1
"ENST00000361999",1
"ENST00000905942",1
"ENST00000902793",1
"ENST00000306156",1
"ENST00000355426",1
"ENST00000560281",1
"ENST00000488550",1
"ENST00000345517",1
"ENST00000264047",1
"ENST00000461707",1
"ENST00000801452",1
"ENST00000393147",1
"ENST00000850649",1
"ENST00000851971",1
"ENST00000911772",1
"ENST00000345008",1
"ENST00000558170",1
"ENST00000899448",1
"ENST00000953167",1
"ENST00000939552",1
"ENST00000873501",1
"ENST00000418842",1
"ENST00000649979",1
"ENST00000409420",1
"ENST00000392701",1
"ENST00000902718",1
"ENST00000306324",1
"ENST00000249440",1
"ENST00000295108",1
"ENST00000874158",1
"ENST00000428675",1
"ENST00000891363",1
"ENST00000891346",1
"ENST00000907243",1
"ENST00000907251",1
"ENST00000907255",1
"ENST00000436443",1
"ENST00000321276",1
"ENST00000644695",1
"ENST00000295190",1
"ENST00000340126",1
"ENST00000254661",1
"ENST00000388934",1
"ENST00000378961",1
"ENST00000453074",1
"ENST00000943038",1
"ENST00000903106",1
"ENST00000698795",1
"ENST00000378858",1
"ENST00000246070",1
"ENST00000338037",1
"ENST00000399002",1
"ENST00000310227",1
"ENST00000377142",1
"ENST00000620459",1
"ENST00000397800",1
"ENST00000931656",1
"ENST00000931655",1
"ENST00000887207",1
"ENST00000373184",1
"ENST00000373190",1
"ENST00000373201",1
"ENST00000373187",1
"ENST00000664748",1
"ENST00000674308",1
"ENST00000381132",1
"ENST00000889226",1
"ENST00000610767",1
"ENST00000859868",1
"ENST00000484686",1
"ENST00000481287",1
"ENST00000282538",1
"ENST00000616701",1
"ENST00000433753",1
"ENST00000288139",1
"ENST00000670768",1
"ENST00000478263",1
"ENST00000352241",1
"ENST00000642352",1
"ENST00000314589",1
"ENST00000896802",1
"ENST00000478951",1
"ENST00000909638",1
"ENST00000682979",1
"ENST00000494517",1
"ENST00000695008",1
"ENST00000882534",1
"ENST00000305366",1
"ENST00000282486",1
"ENST00000911755",1
"ENST00000651380",1
"ENST00000651117",1
"ENST00000464456",1
"ENST00000651503",1
"ENST00000476964",1
"ENST00000657986",1
"ENST00000661842",1
"ENST00000665033",1
"ENST00000350481",1
"ENST00000875104",1
"ENST00000447234",1
"ENST00000905954",1
"ENST00000381980",1
"ENST00000852889",1
"ENST00000381793",1
"ENST00000910703",1
"ENST00000273859",1
"ENST00000610355",1
"ENST00000273857",1
"ENST00000226328",1
"ENST00000307407",1
"ENST00000395761",1
"ENST00000395748",1
"ENST00000325278",1
"ENST00000512884",1
"ENST00000503570",1
"ENST00000909109",1
"ENST00000282701",1
"ENST00000311412",1
"ENST00000295888",1
"ENST00000514229",1
"ENST00000940455",1
"ENST00000641553",1
"ENST00000394980",1
"ENST00000877494",1
"ENST00000264790",1
"ENST00000515059",1
"ENST00000394931",1
"ENST00000899798",1
"ENST00000379987",1
"ENST00000690982",1
"ENST00000296550",1
"ENST00000506325",1
"ENST00000856265",1
"ENST00000264428",1
"ENST00000264433",1
"ENST00000306100",1
"ENST00000878953",1
"ENST00000864715",1
"ENST00000865677",1
"ENST00000865664",1
"ENST00000389354",1
"ENST00000706272",1
"ENST00000511377",1
"ENST00000264463",1
"ENST00000265071",1
"ENST00000899824",1
"ENST00000901832",1
"ENST00000955764",1
"ENST00000863954",1
"ENST00000615665",1
"ENST00000505980",1
"ENST00000671514",1
"ENST00000327111",1
"ENST00000675663",1
"ENST00000675179",1
"ENST00000395813",1
"ENST00000957489",1
"ENST00000304400",1
"ENST00000684379",1
"ENST00000296600",1
"ENST00000893275",1
"ENST00000895962",1
"ENST00000895972",1
"ENST00000895961",1
"ENST00000509730",1
"ENST00000274721",1
"ENST00000882289",1
"ENST00000925545",1
"ENST00000507359",1
"ENST00000859826",1
"ENST00000511217",1
"ENST00000296695",1
"ENST00000510027",1
"ENST00000706733",1
"ENST00000864868",1
"ENST00000328939",1
"ENST00000952660",1
"ENST00000450930",1
"ENST00000289361",1
"ENST00000623276",1
"ENST00000641730",1
"ENST00000377050",1
"ENST00000274938",1
"ENST00000889524",1
"ENST00000940915",1
"ENST00000649492",1
"ENST00000633794",1
"ENST00000185206",1
"ENST00000339561",1
"ENST00000275016",1
"ENST00000334575",1
"ENST00000274901",1
"ENST00000312431",1
"ENST00000615563",1
"ENST00000882408",1
"ENST00000882409",1
"ENST00000328345",1
"ENST00000369208",1
"ENST00000424296",1
"ENST00000312719",1
"ENST00000368581",1
"ENST00000332958",1
"ENST00000336749",1
"ENST00000367882",1
"ENST00000612899",1
"ENST00000358430",1
"ENST00000968518",1
"ENST00000296932",1
"ENST00000972061",1
"ENST00000361131",1
"ENST00000696526",1
"ENST00000367257",1
"ENST00000414563",1
"ENST00000275262",1
"ENST00000354536",1
"ENST00000356284",1
"ENST00000437615",1
"ENST00000648769",1
"ENST00000366756",1
"ENST00000456174",1
"ENST00000462546",1
"ENST00000643460",1
"ENST00000355633",1
"ENST00000851235",1
"ENST00000517635",1
"ENST00000360046",1
"ENST00000222726",1
"ENST00000396045",1
"ENST00000457718",1
"ENST00000357936",1
"ENST00000622873",1
"ENST00000700146",1
"ENST00000472837",1
"ENST00000611835",1
"ENST00000932170",1
"ENST00000435749",1
"ENST00000452320",1
"ENST00000878446",1
"ENST00000265361",1
"ENST00000859638",1
"ENST00000406263",1
"ENST00000341723",1
"ENST00000394468",1
"ENST00000005178",1
"ENST00000687616",1
"ENST00000895660",1
"ENST00000878870",1
"ENST00000421101",1
"ENST00000308478",1
"ENST00000477922",1
"ENST00000302017",1
"ENST00000416793",1
"ENST00000360937",1
"ENST00000713710",1
"ENST00000908206",1
"ENST00000866404",1
"ENST00000332007",1
"ENST00000297261",1
"ENST00000970378",1
"ENST00000616834",1
"ENST00000520262",1
"ENST00000887928",1
"ENST00000671254",1
"ENST00000665390",1
"ENST00000685732",1
"ENST00000276571",1
"ENST00000660308",1
"ENST00000285381",1
"ENST00000220763",1
"ENST00000318528",1
"ENST00000254898",1
"ENST00000220931",1
"ENST00000309982",1
"ENST00000276646",1
"ENST00000529175",1
"ENST00000409003",1
"ENST00000286234",1
"ENST00000323851",1
"ENST00000357248",1
"ENST00000636559",1
"ENST00000427722",1
"ENST00000470744",1
"ENST00000442371",1
"ENST00000375751",1
"ENST00000375512",1
"ENST00000854365",1
"ENST00000427277",1
"ENST00000972594",1
"ENST00000896215",1
"ENST00000891838",1
"ENST00000277537",1
"ENST00000380787",1
"ENST00000949205",1
"ENST00000379145",1
"ENST00000379044",1
"ENST00000377073",1
"ENST00000536169",1
"ENST00000644024",1
"ENST00000420881",1
"ENST00000255531",1
"ENST00000909758",1
"ENST00000243298",1
"ENST00000324342",1
"ENST00000336803",1
"ENST00000893585",1
"ENST00000635795",1
"ENST00000371993",1
"ENST00000680476",1
"ENST00000414769",1
"ENST00000394155",1
"ENST00000370536",1
"ENST00000338017",1
"ENST00000966679",1
"ENST00000422081",1
"ENST00000902931",1
"ENST00000370401",1
"ENST00000342782",1
"ENST00000428771",4
"ENST00000304952",4
"ENST00000309212",4
"ENST00000427211",4
"ENST00000619836",4
"ENST00000262348",4
"ENST00000370976",4
"ENST00000855569",4
"ENST00000684568",4
"ENST00000271227",4
"ENST00000368407",4
"ENST00000368194",4
"ENST00000956711",4
"ENST00000361509",4
"ENST00000693292",4
"ENST00000413687",4
"ENST00000367284",4
"ENST00000271971",4
"ENST00000366661",4
"ENST00000955813",4
"ENST00000860295",4
"ENST00000700021",4
"ENST00000458159",4
"ENST00000415557",4
"ENST00000371697",4
"ENST00000942714",4
"ENST00000536831",4
"ENST00000368614",4
"ENST00000890765",4
"ENST00000528011",4
"ENST00000857964",4
"ENST00000922232",4
"ENST00000856808",4
"ENST00000856799",4
"ENST00000389602",4
"ENST00000294179",4
"ENST00000393676",4
"ENST00000278601",4
"ENST00000529221",4
"ENST00000335953",4
"ENST00000683554",4
"ENST00000535509",4
"ENST00000359492",4
"ENST00000375323",4
"ENST00000236850",4
"ENST00000524993",4
"ENST00000423158",4
"ENST00000534837",4
"ENST00000311268",4
"ENST00000380518",4
"ENST00000447966",4
"ENST00000394825",4
"ENST00000338010",4
"ENST00000551103",4
"ENST00000634871",4
"ENST00000867693",4
"ENST00000524981",4
"ENST00000549934",4
"ENST00000895030",4
"ENST00000539163",4
"ENST00000901688",4
"ENST00000650108",4
"ENST00000426665",4
"ENST00000351808",4
"ENST00000862818",4
"ENST00000382258",4
"ENST00000382263",4
"ENST00000681043",4
"ENST00000242839",4
"ENST00000682017",4
"ENST00000375559",4
"ENST00000535094",4
"ENST00000674313",4
"ENST00000250448",4
"ENST00000355431",4
"ENST00000329153",4
"ENST00000337827",4
"ENST00000553669",4
"ENST00000330753",4
"ENST00000341267",4
"ENST00000429436",4
"ENST00000699898",4
"ENST00000771076",4
"ENST00000260403",4
"ENST00000389286",4
"ENST00000895787",4
"ENST00000557998",4
"ENST00000249837",4
"ENST00000352385",4
"ENST00000558964",4
"ENST00000527715",4
"ENST00000677238",4
"ENST00000962400",4
"ENST00000261588",4
"ENST00000300835",4
"ENST00000621565",4
"ENST00000268603",4
"ENST00000918764",4
"ENST00000329524",4
"ENST00000618002",4
"ENST00000519602",4
"ENST00000353383",4
"ENST00000866204",4
"ENST00000226218",4
"ENST00000618626",4
"ENST00000300557",4
"ENST00000393408",4
"ENST00000413366",4
"ENST00000649793",4
"ENST00000299886",4
"ENST00000322957",4
"ENST00000579760",4
"ENST00000915360",4
"ENST00000397778",4
"ENST00000905917",4
"ENST00000264554",4
"ENST00000590536",4
"ENST00000262953",4
"ENST00000592904",4
"ENST00000550507",4
"ENST00000316950",4
"ENST00000221315",4
"ENST00000938589",4
"ENST00000281419",4
"ENST00000360635",4
"ENST00000288710",4
"ENST00000320081",4
"ENST00000453186",4
"ENST00000402739",4
"ENST00000393487",4
"ENST00000331203",4
"ENST00000259216",4
"ENST00000409642",4
"ENST00000392663",4
"ENST00000272797",4
"ENST00000286063",4
"ENST00000336917",4
"ENST00000233156",4
"ENST00000447232",4
"ENST00000337386",4
"ENST00000415913",4
"ENST00000852785",4
"ENST00000342002",4
"ENST00000421182",4
"ENST00000357867",4
"ENST00000443816",4
"ENST00000432072",4
"ENST00000356005",4
"ENST00000456923",4
"ENST00000865084",4
"ENST00000336916",4
"ENST00000446046",4
"ENST00000879964",4
"ENST00000248444",4
"ENST00000295731",4
"ENST00000877969",4
"ENST00000341420",4
"ENST00000378053",4
"ENST00000874852",4
"ENST00000963260",4
"ENST00000255006",4
"ENST00000891329",4
"ENST00000821804",4
"ENST00000821803",4
"ENST00000564492",4
"ENST00000621426",4
"ENST00000876226",4
"ENST00000969165",4
"ENST00000316673",4
"ENST00000888894",4
"ENST00000336648",4
"ENST00000357985",4
"ENST00000948081",4
"ENST00000612946",4
"ENST00000404820",4
"ENST00000215912",4
"ENST00000892372",4
"ENST00000330688",4
"ENST00000699033",4
"ENST00000484457",4
"ENST00000645898",4
"ENST00000896018",4
"ENST00000803954",4
"ENST00000394236",4
"ENST00000470610",4
"ENST00000878043",4
"ENST00000393923",4
"ENST00000468630",4
"ENST00000693588",4
"ENST00000349441",4
"ENST00000899187",4
"ENST00000454652",4
"ENST00000342695",4
"ENST00000439074",4
"ENST00000303277",4
"ENST00000911470",4
"ENST00000861182",4
"ENST00000675131",4
"ENST00000264866",4
"ENST00000695919",4
"ENST00000509759",4
"ENST00000638680",4
"ENST00000904771",4
