transcript_id	D0	D1	D2	D3	D4	D6	D8	D10	D12	D18
ENST00000959612	0	0	0	50	0	0	0	0	0	0
ENST00000880611	0	0	0	0	0	0	0	0	0	0
ENST00000379410	0	0	0	0	0	0	3	0	0	4.5
ENST00000880610	0	0	0	0	0	0	0	0	0	0
ENST00000880612	0	0	1.5	0	0	0	0	0	0	0
ENST00000880609	0	0	0	0	0	0	0	0	0	0
ENST00000379407	0	0	0	0	0	0	0	0	0	0
ENST00000379409	0	0	0	0	0	0	0	0	0	0
ENST00000959613	27	0	1	0	0	0	47.5	0	11	12
ENST00000480267	0	0	1	0	0	1	0.5	0	0	0
ENST00000491024	0	0	0	0	0	0	0	0	0	0
ENST00000959770	0	0	0	0	0	0	0	0	0	0
ENST00000880867	0	0	0	0	0	0	0	0	0	0
ENST00000433179	0	0	0	0	0	0	0	0	0	0
ENST00000880868	0	0	0	0	0	0	0	0	0	0
ENST00000880869	0	0	0	0	0	0	0	0	0	0
ENST00000959772	0	0	0	0	0	0	0	0	0	0
ENST00000880870	0	0	0	0	0	0	0	0	0	0
ENST00000341290	0	0	0	0	0	0	0	0	0	0
ENST00000479361	0	0	0	0	0	0	0	0	0	0
ENST00000959773	0	6	0	0	8	0	0	4.5	15	3
ENST00000959771	0	0	0	0	0	0	0	0	0	0
ENST00000694917	0	0	0	0	0	0	0	0	0	0
ENST00000880608	19	27.5	58	17.5	46	43	17.5	50.5	27	27
ENST00000854802	0	0	0	0	0	0	0	0	0	0
ENST00000624697	2.5	3	1	0	2.5	17	17	9.5	8.5	16.5
ENST00000624652	0	0	0	0	0	0	0	0	0	0
ENST00000423619	0	0	0	0.5	1	1	2	6	0.5	0
ENST00000606034	1	1	0	0	16.5	53.5	46	41.5	28.5	37
ENST00000428771	18.5	9	0	12	45	241.5	283	237.5	145.5	224.5
ENST00000304952	14.5	6.5	0	0	35.5	177.5	178	167.5	201	169.5
ENST00000481869	3.5	17.5	20	14	78	160.5	348.5	232.5	220.5	335.5
ENST00000484667	0	0	0	0	11	35	72	53	57.5	82
