transcript_id	Control	D1	D2	D3	D4	D5	D6	D10	D13	D17
ENST00000834250	1	0.5	1	0	0	0	0	0.5	0	0
ENST00000834253	0	0	0	0	0	0	0	0	0	0
ENST00000834254	0	0	0	0	0	0	0	0	0	0
ENST00000834251	2	0	0	0	0	0	0	0	0	0
ENST00000834252	0	0	0	0	0	0	0	0	0	0
ENST00000461467	0	0	0	0	0	0	0	0	0	0
ENST00000833573	2	1.5	2.5	0	0	0	0	0	0	0
ENST00000417324	1.5	2	0	0	1	0	0	4	0	0.5
ENST00000832824	0	0	0	0	0	0	0	0	0	0
ENST00000832825	0	0	0	0	0	0	0	0	0	0
ENST00000832826	0	0	1	0	0	0	0	0	0	0
ENST00000832827	0	0	0	0	0	0	0	0	0	0
ENST00000832828	0.5	2	1	2	2.5	0	6	0	1.5	2
ENST00000832829	1	0	0	0	0	0	0	0	0	0
ENST00000832830	0	0	0	0	0	0	0	0	0	0
ENST00000832837	0	0	0	0	0	0	0	0	0	0
ENST00000832831	0	0	0	0	0	0	0	0	0	0
ENST00000832832	0	0	0	0	0	0	0	0	0	0
ENST00000832833	0	0	0	0	0	0	0	0	0	0
ENST00000832834	0	0	0	0	0	0	0	0	0	0
ENST00000832835	0	0	0	0	0	0	0	0	0	0
ENST00000832839	0	0	0	0	0	0.5	0	0	0	0
ENST00000832838	0	0	0	0	0	0	0	0	0	0
ENST00000832840	0	0	0	0	0	0	0	0	0	0
ENST00000832841	0	0	0	0	0	0	0	0	0	0
ENST00000456328	0	0	3	1	0	0	0	0.5	0	0
ENST00000832842	0	0	0	0	0	0	0	0	0	0
ENST00000832843	0	0	0	0	0	0	0	0	0	0
ENST00000832844	0	0	0	0	0	0	0	0	0	0
ENST00000832845	0	0	0	0	0	0	0	0	0	0
ENST00000832846	0	0	0	0	0	0	0	0	0	0
ENST00000450305	0	0	0	0	0	0	0	0	0	0
ENST00000832848	0	0	0	0	0	0	0	0	0	0
ENST00000832849	0	0	0	0	0	0	0	0	0	0
ENST00000831746	12.5	0.5	21	22	1.5	13	4	2.5	29	1
ENST00000831145	0	0	0	0	0	0	0	0	0	0
ENST00000831146	0	0	0	0	0	18	2.5	5	0	0
ENST00000831154	0	0.5	0	0	0.5	4.5	0	0	0	0
ENST00000831157	0	0	0	0	0	0	0	0	0	0
ENST00000831165	0	0	0	0	0	0	0	0	0	39
ENST00000831201	0	0	0	0	0	0	0	0	0	0
ENST00000831172	0	0	0	18	0	0	0	0	0	80
ENST00000831177	0	0	0	0.5	0.5	0	2	0	0	0
ENST00000831158	0	0	0	0	0	0	0	0	0	0
ENST00000831161	0	0	0	0	0	0	1.5	3	0	0
