gene_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
MSTRG.1|DDX11L2,0,1,3,0,0,4
MSTRG.1|DDX11L1,0,0,0,0,0,0
MSTRG.2|WASH7P,0,0,4,1,0,0
ENSG00000237613.2|FAM138A,2,9,0,0,0,0
ENSG00000268020.3|OR4G4P,0,0,0,0,0,0
ENSG00000290826.1|ENSG00000290826,0,0,0,0,0,0
ENSG00000240361.3|OR4G11P,0,0,0,0,0,0
ENSG00000186092.7|OR4F5,0,0,0,0,0,0
ENSG00000239945.1|ENSG00000239945,0,0,0,0,0,0
ENSG00000238009.6|ENSG00000238009,8,21,23,14,14,26
MSTRG.4,739,1616,934,622,1253,3916
MSTRG.4|ENSG00000241860,6,23,36,1,47,64
MSTRG.6,1065,1170,2462,1514,1648,2181
MSTRG.7|DDX11L17,0,2,6,0,3,2
MSTRG.6|WASH9P,0,0,0,0,0,17
MSTRG.2,961,1020,1837,1131,1146,1824
MSTRG.2|MIR6859-1,1,1,1,1,1,1
MSTRG.3|MIR1302-2HG,5,10,16,15,5,18
MSTRG.3|MIR1302-2,1,1,1,1,1,1
ENSG00000233750.3|CICP27,51,36,62,34,61,107
MSTRG.4|ENSG00000268903,94,55,109,161,223,95
MSTRG.4|ENSG00000269981,72,93,33,68,330,471
MSTRG.4|ENSG00000239906,16,2,0,0,7,3
MSTRG.4|RNU6-1100P,1,1,1,2,5,1
MSTRG.5|ENSG00000241599,5,12,4,5,17,24
MSTRG.6|MIR6859-2,9,10,27,13,12,32
ENSG00000288531.1|ENSG00000288531,0,0,5,0,0,0
ENSG00000230368.2|FAM41C,0,0,3,42,4,0
ENSG00000234711.1|TUBB8P11,0,1,3,23,0,0
ENSG00000283040.1|ENSG00000283040,0,0,0,0,0,0
MSTRG.26|ENSG00000272438,0,0,0,8,0,0
MSTRG.26,90,124,470,517,229,1141
MSTRG.26|ENSG00000230699,0,0,0,40,15,64
MSTRG.26|ENSG00000241180,0,0,0,0,0,1
MSTRG.27|LINC02593,19,11,389,445,585,2490
MSTRG.22|ISG15,277,437,103,363,55,407
MSTRG.23|ENSG00000231702,0,0,2,1,0,0
MSTRG.22,0,0,8,13,0,0
MSTRG.24,0,1,23,23,0,0
MSTRG.25|ENSG00000224969,0,5,17,8,0,0
MSTRG.28,0,4,157,165,414,1538
MSTRG.29,0,11,438,3,1380,3880
MSTRG.29|SAMD11,5,0,125,975,1702,3913
MSTRG.30|NOC2L,3450,2473,1000,1399,803,1590
MSTRG.18|KLHL17,23,330,57,196,3,206
MSTRG.20|PLEKHN1,27,64,6,85,15,115
MSTRG.20,0,0,0,21,0,9
MSTRG.21|PERM1,0,0,0,6,0,0
ENSG00000272512.1|ENSG00000272512,0,2,50,25,0,1
MSTRG.19|HES4,4,74,686,989,23,30
MSTRG.30,3136,2898,631,1045,732,1101
MSTRG.18,222,21,319,126,269,579
MSTRG.19,16,0,80,164,0,0
ENSG00000223823.1|LINC01342,0,0,5,0,0,0
ENSG00000272141.1|ENSG00000272141,6,0,12,24,8,18
ENSG00000162571.14|TTLL10,0,0,4,0,0,0
ENSG00000205231.1|TTLL10-AS1,5,0,0,20,0,8
MSTRG.33|TNFRSF18,28,28,0,34,0,63
MSTRG.39|C1orf159,212,244,196,107,313,180
MSTRG.39,202,2,222,326,34,291
MSTRG.40|ENSG00000285812,37,7,31,14,57,35
MSTRG.41,32,8,100,31,82,43
MSTRG.42,3,9,12,14,29,14
MSTRG.34|AGRN,2893,3356,2798,7515,2244,2233
MSTRG.34,4218,6401,4636,11844,2740,5463
MSTRG.34|ENSG00000242590,0,0,0,0,0,0
MSTRG.31|ENSG00000291156,27,25,21,66,10,36
MSTRG.32|ENSG00000273443,0,0,5,7,7,4
MSTRG.31|ENSG00000217801,0,16,19,20,0,13
ENSG00000260179.1|ENSG00000260179,6,1,20,7,9,7
MSTRG.38|C1QTNF12,25,49,31,54,31,119
MSTRG.36|SDF4,2330,2409,1295,1585,1392,1375
MSTRG.36,798,881,724,1423,310,1774
MSTRG.37,3,3,6,0,11,0
MSTRG.35|B3GALT6,1507,809,967,1007,1232,1605
MSTRG.35,97,267,95,750,85,216
MSTRG.9|ENSG00000228463,37,40,48,78,49,41
MSTRG.10|ENSG00000286448,0,0,0,0,0,0
MSTRG.12|ENSG00000236601,0,0,2,4,0,0
MSTRG.13|ENSG00000290385,62,74,216,22,66,206
MSTRG.14|WBP1LP7,0,0,0,0,0,0
MSTRG.15|OR4F29,0,0,3,3,0,0
MSTRG.13|ENSG00000250575,0,0,0,0,0,0
MSTRG.13,1023,1845,1477,1120,2074,4340
MSTRG.46|ENSG00000230021,2,5,10,10,7,5
MSTRG.47|ENSG00000235146,0,0,0,0,0,0
MSTRG.51|ENSG00000278791,0,0,0,0,0,0
MSTRG.54|WBP1LP6,0,0,0,0,0,0
MSTRG.55|OR4F16,0,0,3,3,0,0
MSTRG.46|ENSG00000291215,8,221,10,12,22,17
MSTRG.46,1222,1729,2054,1316,2271,4266
MSTRG.59|RNU6-1199P,0,1,2,1,0,1
MSTRG.61|LINC01409,88,166,263,119,125,171
MSTRG.46|ENSG00000290784,0,0,5,0,0,8
MSTRG.63|LINC01128,336,284,778,1217,209,248
MSTRG.63,139,66,1061,518,146,155
MSTRG.11|RPL23AP24,6,8,7,7,8,8
MSTRG.13|ENSG00000237094,2,1,1,2,1,1
MSTRG.16|CICP7,20,15,50,21,33,33
MSTRG.17|U6,2,2,1,2,2,6
MSTRG.8,35,58,32,30,64,206
MSTRG.48|MTND1P23,184,297,68,109,61,103
MSTRG.49|MTND2P28,7814,8385,2503,5522,3654,4636
MSTRG.50|MTCO1P12,66204,62877,37316,84129,45492,80860
MSTRG.52|MTCO2P12,264,351,88,170,94,143
MSTRG.53|MTATP8P1,828,1718,411,790,312,45
MSTRG.53|MTATP6P1,1915,2340,671,1042,803,1918
MSTRG.53|MTCO3P12,731,642,126,514,330,49
MSTRG.56|CICP3,17,15,54,14,29,30
MSTRG.57,18,34,39,13,56,79
MSTRG.58,9,10,7,0,1,16
MSTRG.60|ENSG00000229905,1,4,17,2,7,7
MSTRG.46|ENSG00000228327,1,1,1,0,0,0
MSTRG.61|ENSG00000285268,1,1,4,5,2,2
MSTRG.46|ENSG00000230092,2,1,1,4,1,1
MSTRG.62|FAM87B,8,8,72,21,40,31
MSTRG.46|LINC00115,50,59,177,103,65,225
MSTRG.44|LINC01786,0,5,5,0,0,2
MSTRG.44,10,80,103,115,11,104
MSTRG.44|SCNN1D,44,12,119,115,33,143
MSTRG.45,13,9,32,17,0,14
MSTRG.43|UBE2J2,2360,1576,899,1350,1451,1569
MSTRG.43,293,85,165,59,182,343
MSTRG.84|ACAP3,830,662,2773,1693,709,706
MSTRG.84|MIR6726,0,0,2,0,0,0
MSTRG.86|INTS11,2940,2157,1128,1668,856,1343
MSTRG.86|ENSG00000240731,0,0,0,0,0,0
MSTRG.87|CPTP,616,411,399,633,382,508
MSTRG.84,11,5,116,60,0,8
MSTRG.85,384,309,29,0,0,150
MSTRG.85|PUSL1,949,701,191,317,257,347
MSTRG.86,1159,1735,1171,899,923,2427
MSTRG.86|MIR6727,1,1,1,1,1,1
MSTRG.66|MXRA8,30,36,232,1225,84,152
MSTRG.66,184,166,906,3201,452,1050
MSTRG.68|AURKAIP1,4553,3918,999,1726,1741,2829
ENSG00000223663.2|NDUFB4P8,0,0,8,7,4,4
MSTRG.76|CCNL2,971,614,1497,1768,1036,1644
MSTRG.76,2156,1884,7351,3563,4450,5297
MSTRG.77|MRPL20-AS1,935,834,429,712,635,810
MSTRG.78|MRPL20,2716,2062,923,1195,1433,1858
MSTRG.69,0,3,0,0,18,0
MSTRG.70|ANKRD65,3,36,50,304,19,92
MSTRG.73|LINC01770,43,26,64,40,33,25
MSTRG.75|ATAD3C,76,55,39,17,40,47
MSTRG.88,4575,1868,1985,1004,1367,2335
MSTRG.88|ATAD3B,362,212,258,181,511,195
MSTRG.89|ENSG00000284740,0,0,0,0,0,0
MSTRG.89,0,9,9,12,3,10
MSTRG.89|ENSG00000290916,7,0,24,10,9,0
MSTRG.88|ATAD3A,2083,2128,855,991,835,1039
ENSG00000274481.1|ENSG00000274481,0,0,0,0,0,0
MSTRG.83,0,38,0,0,0,0
MSTRG.136|MIB2,650,230,1525,547,980,1129
MSTRG.64|TAS1R3,18,21,107,47,31,56
MSTRG.65|DVL1,1614,1392,885,1067,445,1501
MSTRG.65,1135,847,2,611,728,826
MSTRG.65|MIR6808,1,1,1,0,1,1
MSTRG.67,1,2,23,39,27,44
MSTRG.78|RN7SL657P,1,1,1,1,6,2
MSTRG.79|MRPL20-DT,247,283,118,204,192,415
MSTRG.70,16,16,0,98,0,0
MSTRG.71|ANKRD65-AS1,4,6,0,21,0,15
MSTRG.72|TMEM88B,173,65,87,114,38,153
MSTRG.73,6,61,0,58,0,145
MSTRG.74|VWA1,1920,697,449,1489,303,1022
MSTRG.75,4,5,1,29,1,2
MSTRG.90|TMEM240,127,72,74,216,24,103
MSTRG.91,2,5,18,9,0,4
MSTRG.80|SSU72,7911,5332,2073,2988,3392,4663
MSTRG.81|ENSG00000215014,48,61,32,65,75,88
