gene_id,SRR35049344,SRR35049350,SRR35049353,SRR35049354,SRR35049360,SRR35049363
ENSG00000237613|FAM138A,1,0,3,0,0,6
ENSG00000308361,0,0,4,0,0,0
MSTRG.1|DDX11L16,3,2,7,4,6,2
MSTRG.1|DDX11L1,0,0,0,0,0,0
MSTRG.2|WASH7P,125,336,269,243,207,200
MSTRG.2,864,1000,373,755,688,727
MSTRG.2|MIR6859-1,1,5,1,1,1,1
MSTRG.3|MIR1302-2HG,24,18,14,21,21,43
MSTRG.3|MIR1302-2,1,1,0,1,1,1
ENSG00000272512,46,0,0,65,0,1
ENSG00000187583|PLEKHN1,30,26,20,78,49,35
ENSG00000187642|PERM1,0,10,0,0,0,0
MSTRG.46|HES4,1261,47,58,1343,108,68
MSTRG.48|ISG15,425,308,228,808,759,385
MSTRG.47,16,0,1,21,5,1
MSTRG.49,27,0,0,10,2,0
MSTRG.50,17,2,0,10,0,0
MSTRG.51,2,0,0,3,0,2
MSTRG.52,21,2,0,17,0,0
MSTRG.40,121,73,0,104,41,27
MSTRG.41,0,0,0,3,0,0
MSTRG.42|LINC02593,13,141,6,0,2,0
MSTRG.43|SAMD11,0,794,0,16,9,0
MSTRG.43,0,28,0,0,71,0
MSTRG.44|NOC2L,1514,2223,5437,1933,2520,2436
MSTRG.45|KLHL17,52,222,11,71,97,27
MSTRG.45,90,127,125,46,154,149
ENSG00000304965,8,12,4,19,3,6
ENSG00000207730|MIR200B,1,3,0,2,0,0
ENSG00000272141,4,25,4,25,0,2
MSTRG.60|TNFRSF18,0,19,0,0,10,0
MSTRG.60,6,11,0,51,71,11
ENSG00000162571|TTLL10,24,11,0,28,5,0
ENSG00000205231|TTLL10-AS1,11,0,0,37,0,0
MSTRG.4,1786,5172,3277,2021,4411,3683
MSTRG.5,0,2,0,2,0,1
MSTRG.9|DDX11L2,0,4,6,3,5,0
MSTRG.4|WASH9P,554,746,124,554,447,509
MSTRG.9|DDX11L17,0,0,0,0,0,0
MSTRG.10,17,31,18,16,19,35
MSTRG.11,0,0,0,1,1,1
MSTRG.12,58,87,34,123,77,31
MSTRG.13,0,0,0,0,0,0
MSTRG.14,0,1,0,2,1,1
MSTRG.15,2,0,0,10,2,2
MSTRG.16|WBP1LP7,0,0,0,0,0,0
MSTRG.17|OR4F29,0,0,0,1,0,0
MSTRG.19,668,1333,729,546,1390,913
MSTRG.19|LINC00115,284,1017,511,439,265,244
MSTRG.20,0,0,0,1,0,0
MSTRG.24,0,0,0,0,0,0
MSTRG.27|WBP1LP6,0,0,0,0,0,0
MSTRG.28|OR4F16,0,0,0,1,0,0
MSTRG.30|RNU6-1199P,0,1,2,2,1,1
MSTRG.32|LINC01409,150,123,58,75,48,100
MSTRG.35|LINC01128,590,533,475,902,405,359
MSTRG.37,0,0,7,0,0,2
MSTRG.38|FAM41C,0,0,0,0,0,0
