Source,Target,weight
ENST00000428771,ENST00000304952,0.14792878309716
ENST00000428771,ENST00000309212,0.222431835004633
ENST00000428771,ENST00000370976,0.108182470246637
ENST00000428771,ENST00000684568,0.280718876178918
ENST00000428771,ENST00000368407,0.107113354414271
ENST00000428771,ENST00000368194,0.131605970833175
ENST00000428771,ENST00000956711,0.134960625626711
ENST00000428771,ENST00000361509,0.110381034546576
ENST00000428771,ENST00000693292,0.238682180064526
ENST00000428771,ENST00000367284,0.186481658553738
ENST00000428771,ENST00000955813,0.21582259581927
ENST00000428771,ENST00000700021,0.131080683925878
ENST00000428771,ENST00000371697,0.156484002026235
ENST00000428771,ENST00000942714,0.10876837126559
ENST00000428771,ENST00000536831,0.176047012696141
ENST00000428771,ENST00000857964,0.176753161337267
ENST00000428771,ENST00000922232,0.120146012583274
ENST00000428771,ENST00000856799,0.295185981967029
ENST00000428771,ENST00000389602,0.125905343257972
ENST00000428771,ENST00000294179,0.181470040966304
ENST00000428771,ENST00000768274,0.136036386435216
ENST00000428771,ENST00000278601,0.11138495657572
ENST00000428771,ENST00000335953,0.103481414568936
ENST00000428771,ENST00000683554,0.143809247922693
ENST00000428771,ENST00000535509,0.128735754218123
ENST00000428771,ENST00000375323,0.218418100163112
ENST00000428771,ENST00000236850,0.172055533932539
ENST00000428771,ENST00000423158,0.120867939098044
ENST00000428771,ENST00000311268,0.206049164233084
ENST00000428771,ENST00000551103,0.180429225601005
ENST00000428771,ENST00000524981,0.176716441484766
ENST00000428771,ENST00000549934,0.154657320818844
ENST00000428771,ENST00000895030,0.107773958000186
ENST00000428771,ENST00000539163,0.132560360557349
ENST00000428771,ENST00000901688,0.178561851556321
ENST00000428771,ENST00000382258,0.270072947107076
ENST00000428771,ENST00000382263,0.122064030778125
ENST00000428771,ENST00000681043,0.178855470371509
ENST00000428771,ENST00000242839,0.117737098877056
ENST00000428771,ENST00000375559,0.102996522104908
ENST00000428771,ENST00000535094,0.143860132116048
ENST00000428771,ENST00000674313,0.220023943362916
ENST00000428771,ENST00000250448,0.211366956165213
ENST00000428771,ENST00000553669,0.145937154141554
ENST00000428771,ENST00000341267,0.131293455541289
ENST00000428771,ENST00000771076,0.231426731302853
ENST00000428771,ENST00000260403,0.105877408441599
ENST00000428771,ENST00000352385,0.269555581516926
ENST00000428771,ENST00000261588,0.15957528985411
ENST00000428771,ENST00000353383,0.113049032599647
ENST00000428771,ENST00000226218,0.107132960709252
ENST00000428771,ENST00000300557,0.119858930327128
ENST00000428771,ENST00000413366,0.227236652384272
ENST00000428771,ENST00000649793,0.102221324453601
ENST00000428771,ENST00000299886,0.249410166394751
ENST00000428771,ENST00000322957,0.122890818803631
ENST00000428771,ENST00000397778,0.107753616020797
ENST00000428771,ENST00000905917,0.135120614375352
ENST00000428771,ENST00000264554,0.106955725586758
ENST00000428771,ENST00000590536,0.186713098015634
ENST00000428771,ENST00000262953,0.212899040338149
ENST00000428771,ENST00000592904,0.25431364396516
ENST00000428771,ENST00000316950,0.144477449943824
ENST00000428771,ENST00000938589,0.167021379162379
ENST00000428771,ENST00000281419,0.12487893680356
ENST00000428771,ENST00000360635,0.192110756434686
ENST00000428771,ENST00000288710,0.135295801710697
ENST00000428771,ENST00000393487,0.216162423968547
ENST00000428771,ENST00000331203,0.15859472033659
ENST00000428771,ENST00000392663,0.17238548295028
ENST00000428771,ENST00000286063,0.146190609579845
