"","logFC_D1","sig_D1","logFC_D2","sig_D2","logFC_D3","sig_D3","logFC_D4","sig_D4","logFC_D6","sig_D6","logFC_D8","sig_D8","logFC_D10","sig_D10","logFC_D12","sig_D12","logFC_D18","sig_D18"
"ENST00000304952",-0.56307136773092,"not",-5.07104624203749,"not",-7.14990985192166,"not",-0.354135574010409,"not",2.6547477836673,"not",-0.343185338417076,"not",-0.379552044808635,"not",-0.569168935671648,"not",-0.747756454948383,"not"
"ENST00000659124",0,"not",0,"not",0,"not",0,"not",0,"not",0,"not",4.11879043122204,"not",4.37931258206338,"not",3.53968740471565,"not"
"ENST00000511072",0,"not",0,"not",0,"not",0,"not",0,"not",0,"not",4.64572920191067,"not",5.84972017085707,"not",7.25660180625031,"not"
"ENST00000868561",0.381600190561006,"not",1.95248015330775,"not",0.0813559845657975,"not",-0.38273540443421,"not",-22.4026587162499,"down",-28.1818137581879,"down",-27.7857462044609,"down",-28.5926313366284,"down",-28.4849431633534,"down"
"ENST00000496676",0,"not",5.40660723531335,"not",0,"not",0,"not",4.94601543111773,"not",5.01921473276619,"not",5.2791134402184,"not",4.66998882959535,"not",5.160647687789,"not"
"ENST00000647408",0,"not",0,"not",0,"not",0,"not",0,"not",0,"not",19.6012079920638,"up",20.2474197080092,"up",19.9107594170553,"up"
"ENST00000377298",0.163639722668171,"not",0.728773493718904,"not",5.00702509928654,"not",-1.81360828904894,"not",-1.38901706737839,"not",4.71103091928967,"up",3.55704544084201,"not",4.13365282937336,"not",4.74839212960984,"up"
"ENST00000377263",-1.44768585191769,"not",0.454748717233696,"not",-3.77623752401474,"not",-3.63611336287972,"not",-25.8899872698215,"down",-29.3745857129354,"down",-29.0425998756151,"down",-30,"down",-29.6953774279292,"down"
"ENST00000911712",-0.451776490666836,"not",0.188513261099412,"not",-4.75194591226216,"not",-5.25896906757651,"not",-13.0754618286378,"down",-7.37949913113507,"not",-16.1146717173046,"down",-16.3710203732073,"down",-16.4237688966701,"down"
"ENST00000376480",-0.625648333046555,"not",1.38137733509907,"not",-0.951890831255242,"not",-0.378957427009197,"not",-0.403233959756365,"not",1.45118239570204,"not",2.59827943428801,"not",1.9804426394941,"not",1.43080894372119,"not"
