"","logFC_D1","sig_D1","logFC_D2","sig_D2","logFC_D3","sig_D3","logFC_D4","sig_D4","logFC_D5","sig_D5","logFC_D6","sig_D6","logFC_D10","sig_D10","logFC_D13","sig_D13","logFC_D17","sig_D17"
"ENST00000428771",-4.6715696991857,"not",-5.66037718009177,"not",5.14637935156551,"not",5.60625144358925,"not",5.02147184504822,"not",7.45638723808244,"up",11.7676601293706,"up",12.1762274397999,"up",11.9275524986702,"up"
"ENST00000304952",-7.33932967136832,"not",-8.34404506428774,"not",1.97943951801748,"not",3.26992626815079,"not",2.78738237127536,"not",4.72080425350851,"not",9.4589922266799,"up",10.2306313170576,"up",10.1600310105279,"up"
"ENST00000309212",0,"not",0,"not",10.0357451019287,"up",10.8070682066968,"up",9.06781105471121,"up",12.066600763864,"up",15.5563790390516,"up",16.7450409437108,"up",16.6554831315619,"up"
"ENST00000427211",0,"not",0,"not",0,"not",0,"not",20.038671209248,"up",21.7562723163674,"up",22.9475275772171,"up",25.1468387450089,"up",25.989144618451,"up"
"ENST00000378453",0,"not",0,"not",0,"not",4.40343868121426,"not",5.75430139658247,"not",5.59251824269159,"not",15.7067993438967,"up",17.7114797762385,"up",17.3746832883755,"up"
"ENST00000377893",21.5586880391106,"up",0,"not",0,"not",0,"not",20.8425300627992,"up",0,"not",27.8678555799581,"up",28.2611319266262,"up",26.6492655404996,"up"
"ENST00000377845",-16.9046372679921,"not",-17.1551732845643,"not",-12.1466042521546,"not",-13.8082679596744,"not",-13.5711770637155,"not",10.0177441366463,"not",14.6317048297508,"up",15.0433592233913,"up",15.4149150158386,"up"
"ENST00000377507",-3.14288762326388,"not",-1.25984038508625,"not",-1.66255883221448,"not",0.852572758209051,"not",-2.5347969751523,"not",-1.6410409397007,"not",14.0971656074679,"up",14.0222323143663,"up",12.265615587165,"up"
"ENST00000461985",4.37533976731141,"not",3.90864312492266,"not",5.2228034385292,"not",2.50848648458485,"not",1.67353373585125,"not",-5.07075636325875,"not",-1.1299235026634,"not",-0.682370026174177,"not",-0.901980958331176,"not"
"ENST00000375071",3.52183018768724,"not",3.40664936875592,"not",5.07162368824262,"not",2.76352746117727,"not",1.60080815589942,"not",2.28474203158515,"not",-2.92957476287744,"not",-2.48202153083194,"not",-2.70163234304235,"not"
"ENST00000540617",-2.17237252454338,"not",0.0971107024764641,"not",2.90133712679046,"not",2.4048306373792,"not",3.19911554519843,"not",3.98992294028503,"not",-3.71699813471329,"not",-3.26944623063807,"not",-3.48905639122402,"not"
"ENST00000374392",0,"not",0,"not",0,"not",0,"not",0,"not",0,"not",26.1631438247884,"up",27.8247045506402,"up",28.188917274729,"up"
