ENST,GeneSymbol
ENST00000304952,HES4
ENST00000659124,LINC01128
ENST00000511072,PRDM16
ENST00000868561,ARHGEF16
ENST00000496676,RNF207
ENST00000647408,ENO1
ENST00000377298,CLSTN1
ENST00000377263,CTNNBIP1
ENST00000911712,MAD2L2
ENST00000376480,NPPA
ENST00000711098,DDI2
ENST00000442459,HSPB7
ENST00000411503,HSPB7
ENST00000375142,CAPZB
ENST00000674432,CAPZB
ENST00000540617,ALPL
ENST00000374630,EPHB2
ENST00000374619,HTR1D
ENST00000471849,LUZP1
ENST00000859603,MTFR1L
ENST00000374272,TRIM63
ENST00000373921,THEMIS2
ENST00000373713,FABP3
ENST00000342280,GJA4
ENST00000359858,ZMYM1
ENST00000373075,MEAF6
ENST00000372708,SMAP2
ENST00000470271,CTPS1
ENST00000883345,KDM4A
ENST00000928355,DMBX1
ENST00000680483,TTC39A
ENST00000371566,ORC1
ENST00000907006,HOOK1
ENST00000498273,L1TD1
ENST00000450606,
ENST00000635253,DOCK7
ENST00000616738,LEPR
ENST00000370976,WLS
ENST00000885094,PTGFR
ENST00000370742,ADGRL4
ENST00000674208,ADGRL2
ENST00000370225,ABCA4
ENST00000370185,PLPPR4
ENST00000370163,AGL
ENST00000294728,VCAM1
ENST00000603679,VCAM1
ENST00000894821,TSPAN2
ENST00000967206,CSDE1
ENST00000864986,MAB21L3
ENST00000768352,LINC00623
ENST00000734639,LOC105378944
ENST00000685012,LOC653513
ENST00000695769,PDE4DIP
ENST00000526445,PDE4DIP
ENST00000369347,PDE4DIP
ENST00000545683,H2BC18
ENST00000368378,THBS3
ENST00000471876,RUSC1
ENST00000873828,ARHGEF2
ENST00000608007,MIR9-1HG
ENST00000488498,MIR9-1HG
ENST00000368195,INSRR
ENST00000368108,DUSP23
ENST00000883984,IGSF8
ENST00000368078,CASQ1
ENST00000368012,NECTIN4
ENST00000680688,ATF6
ENST00000495447,MGST3
ENST00000443333,STYXL2
ENST00000691753,ATP1B1
ENST00000333360,SELE
ENST00000209929,FMO2
ENST00000367725,C1orf105
ENST00000361833,ASTN1
ENST00000287713,NMNAT2
ENST00000460780,TNNT2
ENST00000671234,
ENST00000515042,TNNT2
ENST00000445079,TNNT2
ENST00000361379,TNNI1
ENST00000367312,TNNI1
ENST00000634903,PPP1R12B
ENST00000969198,PPP1R12B
ENST00000969199,PPP1R12B
ENST00000391959,PPP1R12B
ENST00000608999,PPP1R12B
ENST00000341360,ATP2B4
ENST00000713653,PLEKHA6
ENST00000713656,PLEKHA6
