ENST,GeneSymbol
ENST00000428771,HES4
ENST00000304952,HES4
ENST00000309212,MXRA8
ENST00000427211,ANKRD65
ENST00000378453,HES5
ENST00000377893,GPR153
ENST00000377845,ACOT7
ENST00000377507,TNFRSF9
ENST00000461985,CDA
ENST00000375071,CDA
ENST00000540617,ALPL
ENST00000374392,NCMAP
ENST00000619836,PDIK1L
ENST00000361157,IFI6
ENST00000271064,TINAGL1
ENST00000373422,PHC2
ENST00000372573,FOXJ3
ENST00000271139,MOB3C
ENST00000928916,L1TD1
ENST00000928902,L1TD1
ENST00000371116,FOXD3
ENST00000262348,WLS
ENST00000370976,WLS
ENST00000354567,AK5
ENST00000330010,NEXN
ENST00000855565,ADGRL2
ENST00000855569,ADGRL2
ENST00000260505,TTLL7
ENST00000370589,MCOLN3
ENST00000684568,EVI5
ENST00000935051,CCDC18
ENST00000271227,SLC44A3
ENST00000467909,SLC44A3
ENST00000305352,S1PR1
ENST00000481871,DPH5
ENST00000369965,WDR47
ENST00000369962,WDR47
ENST00000667852,LINC01356
ENST00000765284,LINC01356
ENST00000632517,
ENST00000879565,RPRD2
ENST00000324048,ZNF687
ENST00000368873,PI4KB
ENST00000368875,PI4KB
ENST00000852748,PI4KB
ENST00000955930,NPR1
ENST00000875564,SHC1
ENST00000368407,EFNA1
ENST00000368194,ARHGEF11
ENST00000956711,ARHGEF11
ENST00000368124,CADM3
ENST00000361509,IGSF9
ENST00000367909,RGS4
ENST00000693292,
ENST00000451607,GAS5
ENST00000360851,RGL1
ENST00000367521,COLGALT2
ENST00000367520,COLGALT2
ENST00000367433,KCNT2
ENST00000413687,INAVA
ENST00000367283,ELF3
ENST00000471105,RNPEP
ENST00000367284,ELF3
ENST00000491336,PPP1R12B
ENST00000470492,SNRPE
ENST00000341360,ATP2B4
ENST00000861178,RBBP5
ENST00000906547,PFKFB2
ENST00000610948,LINC00467
ENST00000881026,PROX1
ENST00000881022,PROX1
ENST00000366929,TGFB2
ENST00000789338,
ENST00000863548,TP53BP2
ENST00000272133,CNIH3
ENST00000366838,SRP9
ENST00000366820,LEFTY2
ENST00000272134,LEFTY1
ENST00000366837,EPHX1
ENST00000666609,H3-3A
ENST00000366810,MIXL1
ENST00000271971,CAPN9
ENST00000366661,TTC13
ENST00000733246,
ENST00000649110,LINC00707
ENST00000955813,GATA3
ENST00000889955,DHTKD1
ENST00000867538,OPTN
ENST00000545675,SEPHS1
ENST00000376624,SPAG6
ENST00000313311,SPAG6
ENST00000946671,SVIL
ENST00000860295,SVIL
ENST00000424869,ZEB1
ENST00000374867,NRP1
ENST00000355710,RET
ENST00000891516,RASSF4
ENST00000475914,
ENST00000929784,NEUROG3
ENST00000242462,NEUROG3
ENST00000287139,NODAL
ENST00000263563,PALD1
ENST00000394957,VSIR
ENST00000894723,PLAU
ENST00000639913,KCNMA1
ENST00000623527,CDHR1
ENST00000700021,PTEN
ENST00000458159,ACTA2
ENST00000415557,ACTA2
ENST00000371697,ANKRD1
ENST00000888208,PCGF5
ENST00000614189,PCGF5
ENST00000942714,PCGF5
ENST00000941956,MYOF
ENST00000901926,SORBS1
ENST00000266058,SLIT1
ENST00000536831,RRP12
ENST00000320185,FGF8
ENST00000346714,FGF8
ENST00000901356,ADD3
ENST00000277900,ADD3
ENST00000393104,PDCD4
ENST00000392982,VWA2
ENST00000369236,GFRA1
ENST00000439649,GFRA1
ENST00000684105,GFRA1
ENST00000966480,MCMBP
ENST00000451024,NKX1-2
ENST00000368614,LRRC27
ENST00000368592,NKX6-2
ENST00000681938,IFITM1
ENST00000890765,CD151
ENST00000528011,CD151
ENST00000524947,KRTAP5-AS1
ENST00000381395,IGF2
ENST00000416167,IGF2
ENST00000434045,IGF2
ENST00000445504,IGF2-AS
ENST00000381361,IGF2-AS
ENST00000381363,IGF2-AS
ENST00000381330,INS
ENST00000534491,OSBPL5
ENST00000857954,DENND2B
ENST00000857951,DENND2B
ENST00000857977,DENND2B
ENST00000857964,DENND2B
ENST00000856816,USP47
ENST00000856820,USP47
ENST00000947338,MICAL2
ENST00000530691,MICAL2
ENST00000864318,MICAL2
ENST00000655819,SOX6
